f,PRICE 12PK,PRICE_12PK_LN,PPC_12,PRICE 18PK,PRICE_18PK_LN,PPC_18,PRICE 30PK,PRICE_30PK_LN,PPC_30,CASES 12PK,CASES_12PK_LN,CASES 18PK,CASES_18PK_LN,CASES 30PK,CASES_30PK_LN,,Source:,http://people.duke.edu/~rnau/forecasting.htm
25,20.12,3.002,1.676666667,18.75,2.931,1.041666667,14.28,2.659,0.476,365,5.9,84,4.4308,210.75,5.351,,,
26,19.75,2.983,1.645833333,18.75,2.931,1.041666667,15.19,2.721,0.506333333,510,6.234,85,4.4427,110.5,4.705,,,
27,19.65,2.978,1.6375,18.75,2.931,1.041666667,13.12,2.574,0.437333333,580.5,6.364,116,4.7536,568.25,6.343,,,
28,19.69,2.98,1.640833333,13.79,2.624,0.766111111,13.78,2.623,0.459333333,251,5.525,544,6.2989,115.5,4.749,,,
29,20.12,3.002,1.676666667,13.49,2.602,0.749444444,15.19,2.721,0.506333333,237,5.468,890,6.7912,58.75,4.073,,,
30,20.12,3.002,1.676666667,14.89,2.701,0.827222222,15.19,2.721,0.506333333,302.5,5.712,371,5.9162,77.25,4.347,,,
31,20.13,3.002,1.6775,13.94,2.635,0.774444444,15.19,2.721,0.506333333,229.5,5.436,557,6.3226,66.25,4.193,,,
32,20.14,3.003,1.678333333,13.67,2.615,0.759444444,15.19,2.721,0.506333333,188.5,5.239,775,6.6529,50,3.912,,,
33,15.14,2.717,1.261666667,14.43,2.669,0.801666667,15.19,2.721,0.506333333,795.5,6.679,236,5.4638,46.5,3.839,,,
34,14.33,2.662,1.194166667,18.75,2.931,1.041666667,15.19,2.721,0.506333333,1556.5,7.35,43,3.7612,65.75,4.186,,,
35,16.24,2.787,1.353333333,18.22,2.903,1.012222222,13.14,2.576,0.438,807.5,6.694,63,4.1431,252.75,5.532,,,
36,19.93,2.992,1.660833333,14.06,2.643,0.781111111,13.45,2.599,0.448333333,243,5.493,469,6.1506,179,5.187,,,
37,21.06,3.047,1.755,14.43,2.669,0.801666667,13,2.565,0.433333333,201.5,5.306,335,5.8141,226.25,5.422,,,
38,21.19,3.054,1.765833333,19.48,2.969,1.082222222,13.6,2.61,0.453333333,294,5.684,75,4.3175,288.5,5.665,,,
39,21.23,3.055,1.769166667,15.15,2.718,0.841666667,14.46,2.671,0.482,220.5,5.396,461,6.1334,114.25,4.738,,,
40,20.12,3.002,1.676666667,13.79,2.624,0.766111111,14.94,2.704,0.498,255.5,5.543,817,6.7056,70,4.248,,,
41,14.73,2.69,1.2275,14.31,2.661,0.795,15.19,2.721,0.506333333,920.5,6.825,200,5.2983,47.75,3.866,,,
42,14.57,2.679,1.214166667,19.5,2.97,1.083333333,15.19,2.721,0.506333333,730,6.593,32,3.4657,98.75,4.593,,,
43,15.94,2.769,1.328333333,13.85,2.628,0.769444444,15.19,2.721,0.506333333,262.5,5.57,460,6.1312,77,4.344,,,
44,20.7,3.03,1.725,14.23,2.655,0.790555556,13.43,2.597,0.447666667,209.5,5.345,751,6.6214,160.5,5.078,,,
45,19.57,2.974,1.630833333,19.31,2.961,1.072777778,14.37,2.665,0.479,283,5.645,70,4.2485,143.5,4.966,,,
46,19.6,2.976,1.633333333,19.29,2.96,1.071666667,15.19,2.721,0.506333333,262.5,5.57,80,4.382,133,4.89,,,
47,19.94,2.993,1.661666667,13.76,2.622,0.764444444,15.19,2.721,0.506333333,310,5.737,523,6.2596,68.75,4.23,,,
48,21.28,3.058,1.773333333,13.45,2.599,0.747222222,15.19,2.721,0.506333333,278.5,5.629,741,6.608,81.75,4.404,,,
49,14.56,2.678,1.213333333,15.13,2.717,0.840555556,15.19,2.721,0.506333333,741.5,6.609,130,4.8675,56.25,4.03,,,
50,14.39,2.667,1.199166667,19.43,2.967,1.079444444,15.19,2.721,0.506333333,1316,7.182,69,4.2341,68.75,4.23,,,
51,16.81,2.822,1.400833333,13.26,2.585,0.736666667,15.19,2.721,0.506333333,449,6.107,493,6.2005,49.25,3.897,,,
52,19.86,2.99,1.655,13.92,2.633,0.773333333,15.19,2.721,0.506333333,505,6.225,814,6.702,76.5,4.337,,,
