Subject,Educ,Income2005,SortOrd
5603,<12,36000,1
313,<12,37000,1
1318,<12,37000,1
3540,<12,37000,1
3554,<12,38000,1
3657,<12,38000,1
4098,<12,38800,1
5604,<12,40000,1
2318,<12,43000,1
4946,<12,43000,1
5713,<12,44328,1
2255,<12,45000,1
356,<12,50000,1
1471,<12,50000,1
2728,<12,50000,1
11890,<12,50400,1
5363,<12,52000,1
1134,<12,53000,1
2419,<12,55000,1
3570,<12,56000,1
12065,<12,56000,1
722,<12,57500,1
3050,<12,60000,1
4960,<12,60000,1
11755,<12,60000,1
3440,<12,61000,1
4335,<12,67000,1
4156,<12,68000,1
547,<12,69000,1
5461,<12,71776,1
1779,<12,74000,1
3230,<12,80000,1
1547,<12,85000,1
2953,<12,85000,1
3742,<12,98000,1
11762,<12,100000,1
3325,12,300,2
11801,12,350,2
3522,12,500,2
3977,12,600,2
12043,12,628,2
1862,12,900,2
5484,12,900,2
5159,12,1200,2
5524,12,1300,2
3549,12,1500,2
3821,12,1500,2
4543,12,1800,2
2659,12,2000,2
2911,12,2000,2
11830,12,2000,2
11950,12,2000,2
3094,12,2200,2
11884,12,2200,2
703,12,3000,2
769,12,3000,2
843,12,3000,2
971,12,3000,2
3236,12,3000,2
5522,12,3000,2
12042,12,3000,2
12057,12,3000,2
3544,12,3200,2
5353,12,3200,2
4105,12,3408,2
5180,12,3563,2
2158,12,3600,2
3527,12,3800,2
2679,12,3890,2
2651,12,3983,2
632,12,4000,2
2072,12,4000,2
11760,12,4000,2
12082,12,4000,2
3591,12,4471,2
2459,12,4560,2
4774,12,4800,2
244,12,5000,2
681,12,5000,2
1130,12,5000,2
2529,12,5000,2
2669,12,5000,2
2990,12,5000,2
3562,12,5000,2
3697,12,5000,2
3822,12,5000,2
4678,12,5000,2
2196,12,5280,2
2,12,5500,2
4112,12,5700,2
2528,12,6000,2
3134,12,6000,2
4141,12,6000,2
4911,12,6000,2
12076,12,6000,2
1147,12,6500,2
4557,12,6580,2
1591,12,7000,2
2729,12,7000,2
44,12,7200,2
5317,12,7200,2
2251,12,7225,2
4906,12,7300,2
1080,12,7500,2
2420,12,7500,2
1247,12,8000,2
1768,12,8000,2
1878,12,8000,2
2003,12,8000,2
2658,12,8000,2
2699,12,8000,2
2810,12,8000,2
3417,12,8000,2
4983,12,8000,2
5385,12,8000,2
11811,12,8000,2
4724,12,8400,2
5236,12,8400,2
2383,12,8500,2
5450,12,8500,2
4864,12,8575,2
4762,12,8600,2
373,12,9000,2
2978,12,9000,2
3242,12,9000,2
4065,12,9000,2
4459,12,9000,2
5252,12,9000,2
5718,12,9000,2
2013,12,9200,2
3741,12,9300,2
4619,12,9500,2
354,12,9600,2
4113,12,9600,2
5085,12,9600,2
1998,12,9724,2
935,12,9800,2
145,12,10000,2
377,12,10000,2
1592,12,10000,2
3456,12,10000,2
3929,12,10000,2
5311,12,10000,2
5514,12,10000,2
11891,12,10000,2
5544,12,10056,2
3020,12,10800,2
2460,12,10875,2
5705,12,10900,2
713,12,11000,2
1887,12,11000,2
2672,12,11000,2
4085,12,11000,2
5550,12,11000,2
1608,12,11040,2
401,12,11500,2
5262,12,11500,2
5268,12,11548,2
4274,12,11550,2
12133,12,11560,2
57,12,12000,2
294,12,12000,2
465,12,12000,2
485,12,12000,2
762,12,12000,2
1060,12,12000,2
1416,12,12000,2
2002,12,12000,2
2153,12,12000,2
2165,12,12000,2
2682,12,12000,2
4339,12,12000,2
4544,12,12000,2
4734,12,12000,2
4747,12,12000,2
4804,12,12000,2
5231,12,12000,2
5376,12,12000,2
5684,12,12000,2
646,12,12500,2
1884,12,12500,2
4173,12,12500,2
12139,12,12600,2
1071,12,12649,2
1048,12,13000,2
1351,12,13000,2
2264,12,13000,2
2271,12,13000,2
3397,12,13000,2
3491,12,13000,2
4790,12,13000,2
5421,12,13000,2
2537,12,13100,2
4326,12,13200,2
11879,12,13691,2
2396,12,13986,2
259,12,14000,2
449,12,14000,2
1869,12,14000,2
2146,12,14000,2
3852,12,14000,2
4345,12,14000,2
4680,12,14000,2
5041,12,14000,2
5555,12,14000,2
11940,12,14000,2
2450,12,14750,2
548,12,15000,2
789,12,15000,2
1092,12,15000,2
1495,12,15000,2
1637,12,15000,2
2266,12,15000,2
2270,12,15000,2
2412,12,15000,2
2650,12,15000,2
2912,12,15000,2
3054,12,15000,2
3611,12,15000,2
3819,12,15000,2
4071,12,15000,2
4077,12,15000,2
4220,12,15000,2
4710,12,15000,2
5139,12,15000,2
5538,12,15000,2
11880,12,15000,2
11939,12,15000,2
5575,12,15785,2
411,12,16000,2
814,12,16000,2
1043,12,16000,2
1499,12,16000,2
1590,12,16000,2
1926,12,16000,2
1947,12,16000,2
2564,12,16000,2
3511,12,16000,2
3584,12,16000,2
3723,12,16000,2
3739,12,16000,2
3851,12,16000,2
4263,12,16000,2
4561,12,16000,2
5294,12,16000,2
5502,12,16000,2
5545,12,16000,2
11909,12,16000,2
1221,12,16200,2
2709,12,16257,2
3746,12,16390,2
87,12,17000,2
197,12,17000,2
1029,12,17000,2
1250,12,17000,2
1593,12,17000,2
1838,12,17000,2
2080,12,17000,2
2615,12,17000,2
3051,12,17000,2
3467,12,17000,2
4638,12,17000,2
1532,12,17407,2
375,12,17500,2
1312,12,18000,2
1610,12,18000,2
1839,12,18000,2
1890,12,18000,2
2781,12,18000,2
3057,12,18000,2
3095,12,18000,2
3508,12,18000,2
3543,12,18000,2
3738,12,18000,2
4046,12,18000,2
4312,12,18000,2
4461,12,18000,2
4641,12,18000,2
4948,12,18000,2
5521,12,18560,2
7,12,19000,2
1551,12,19000,2
1560,12,19000,2
2556,12,19000,2
2830,12,19000,2
5537,12,19000,2
11792,12,19000,2
1607,12,19200,2
3444,12,19200,2
2775,12,19500,2
4386,12,19900,2
491,12,20000,2
535,12,20000,2
679,12,20000,2
758,12,20000,2
832,12,20000,2
849,12,20000,2
1353,12,20000,2
1617,12,20000,2
1627,12,20000,2
1863,12,20000,2
2250,12,20000,2
2434,12,20000,2
2471,12,20000,2
2654,12,20000,2
3452,12,20000,2
3740,12,20000,2
4064,12,20000,2
4089,12,20000,2
4142,12,20000,2
4333,12,20000,2
4849,12,20000,2
5272,12,20000,2
5508,12,20000,2
5510,12,20000,2
5617,12,20000,2
5671,12,20000,2
1065,12,20160,2
2478,12,20376,2
3699,12,20477,2
5486,12,20500,2
1063,12,20518,2
2772,12,21000,2
3640,12,21000,2
4583,12,21000,2
4818,12,21000,2
12126,12,21000,2
5131,12,21213,2
4732,12,21424,2
1927,12,21455,2
433,12,21528,2
1253,12,21600,2
148,12,21800,2
5338,12,21939,2
257,12,22000,2
437,12,22000,2
550,12,22000,2
662,12,22000,2
854,12,22000,2
1419,12,22000,2
1507,12,22000,2
1873,12,22000,2
2073,12,22000,2
2380,12,22000,2
2578,12,22000,2
2864,12,22000,2
3127,12,22000,2
3825,12,22000,2
3938,12,22000,2
4338,12,22000,2
4777,12,22000,2
5238,12,22000,2
5581,12,22000,2
11878,12,22000,2
12039,12,22000,2
12083,12,22000,2
3790,12,22049,2
5505,12,22050,2
2203,12,22500,2
5516,12,22500,2
2592,12,22800,2
503,12,23000,2
763,12,23000,2
1257,12,23000,2
3267,12,23000,2
4196,12,23000,2
5179,12,23000,2
12131,12,23000,2
4222,12,23031,2
2451,12,23100,2
1516,12,23300,2
815,12,23400,2
3660,12,23400,2
2670,12,23500,2
952,12,23600,2
1056,12,24000,2
1237,12,24000,2
1599,12,24000,2
1729,12,24000,2
2046,12,24000,2
2102,12,24000,2
2157,12,24000,2
2665,12,24000,2
2707,12,24000,2
2995,12,24000,2
3273,12,24000,2
3514,12,24000,2
3845,12,24000,2
4025,12,24000,2
4621,12,24000,2
4646,12,24000,2
4772,12,24000,2
5573,12,24000,2
11858,12,24000,2
11864,12,24000,2
11935,12,24000,2
12032,12,24000,2
12130,12,24000,2
2400,12,24024,2
11887,12,24200,2
5060,12,24314,2
4028,12,24500,2
616,12,25000,2
723,12,25000,2
1044,12,25000,2
1156,12,25000,2
1490,12,25000,2
1866,12,25000,2
1962,12,25000,2
1965,12,25000,2
1985,12,25000,2
2035,12,25000,2
2208,12,25000,2
2313,12,25000,2
2479,12,25000,2
2540,12,25000,2
2610,12,25000,2
2708,12,25000,2
2748,12,25000,2
2811,12,25000,2
3065,12,25000,2
3082,12,25000,2
3550,12,25000,2
4048,12,25000,2
4145,12,25000,2
4184,12,25000,2
4505,12,25000,2
4594,12,25000,2
4637,12,25000,2
4780,12,25000,2
4934,12,25000,2
5208,12,25000,2
5456,12,25000,2
5539,12,25000,2
5566,12,25000,2
756,12,26000,2
1042,12,26000,2
1384,12,26000,2
1531,12,26000,2
1904,12,26000,2
1990,12,26000,2
2020,12,26000,2
2122,12,26000,2
2327,12,26000,2
2710,12,26000,2
2760,12,26000,2
3235,12,26000,2
3475,12,26000,2
3537,12,26000,2
3994,12,26000,2
4175,12,26000,2
4249,12,26000,2
4778,12,26000,2
4952,12,26000,2
5247,12,26000,2
5476,12,26000,2
5614,12,26000,2
11949,12,26000,2
5712,12,26280,2
2579,12,26350,2
4879,12,26500,2
1891,12,26800,2
3254,12,26800,2
1360,12,27000,2
1438,12,27000,2
2014,12,27000,2
2086,12,27000,2
2530,12,27000,2
3513,12,27000,2
4779,12,27000,2
5189,12,27000,2
5115,12,27400,2
4604,12,27412,2
2018,12,27640,2
1802,12,27915,2
505,12,28000,2
1527,12,28000,2
1865,12,28000,2
2079,12,28000,2
2152,12,28000,2
2690,12,28000,2
2745,12,28000,2
3118,12,28000,2
3192,12,28000,2
5307,12,28000,2
2227,12,28263,2
5195,12,28398,2
1462,12,28600,2
2404,12,28800,2
179,12,29000,2
669,12,29000,2
861,12,29000,2
1468,12,29000,2
1860,12,29000,2
2066,12,29000,2
2094,12,29000,2
2483,12,29000,2
3252,12,29000,2
3719,12,29000,2
3784,12,29000,2
4163,12,29000,2
4914,12,29000,2
5186,12,29000,2
5436,12,29000,2
5551,12,29000,2
3649,12,29400,2
5301,12,29479,2
3199,12,29500,2
1769,12,29515,2
1366,12,29800,2
5494,12,29800,2
484,12,30000,2
728,12,30000,2
802,12,30000,2
932,12,30000,2
950,12,30000,2
1141,12,30000,2
1539,12,30000,2
1964,12,30000,2
2045,12,30000,2
2055,12,30000,2
2316,12,30000,2
2452,12,30000,2
2689,12,30000,2
3023,12,30000,2
3035,12,30000,2
3046,12,30000,2
3055,12,30000,2
3079,12,30000,2
3285,12,30000,2
4067,12,30000,2
4159,12,30000,2
4314,12,30000,2
4374,12,30000,2
4601,12,30000,2
4992,12,30000,2
5192,12,30000,2
5607,12,30000,2
5613,12,30000,2
5640,12,30000,2
12090,12,30000,2
12128,12,30000,2
11813,12,30456,2
2711,12,30620,2
4822,12,30775,2
969,12,31000,2
1251,12,31000,2
1417,12,31000,2
4770,12,31000,2
5572,12,31000,2
11981,12,31000,2
410,12,31085,2
4469,12,31200,2
3197,12,31500,2
3090,12,31600,2
2652,12,31658,2
207,12,32000,2
446,12,32000,2
1899,12,32000,2
1996,12,32000,2
2012,12,32000,2
2032,12,32000,2
2201,12,32000,2
2261,12,32000,2
2439,12,32000,2
2574,12,32000,2
2780,12,32000,2
2829,12,32000,2
2944,12,32000,2
3310,12,32000,2
3620,12,32000,2
3650,12,32000,2
3850,12,32000,2
3900,12,32000,2
4205,12,32000,2
4303,12,32000,2
4966,12,32000,2
5194,12,32000,2
5546,12,32000,2
1556,12,32176,2
4130,12,32500,2
1656,12,33000,2
2229,12,33000,2
2852,12,33000,2
3754,12,33000,2
3760,12,33000,2
4487,12,33000,2
4884,12,33000,2
5646,12,33000,2
12000,12,33000,2
12084,12,33793,2
5258,12,33800,2
3538,12,33900,2
2732,12,33955,2
185,12,34000,2
1790,12,34000,2
2582,12,34000,2
2591,12,34000,2
3163,12,34000,2
3563,12,34000,2
3796,12,34000,2
4114,12,34000,2
4390,12,34000,2
5357,12,34000,2
5576,12,34000,2
2104,12,34500,2
200,12,35000,2
391,12,35000,2
639,12,35000,2
720,12,35000,2
732,12,35000,2
806,12,35000,2
958,12,35000,2
1179,12,35000,2
1872,12,35000,2
2418,12,35000,2
2425,12,35000,2
2435,12,35000,2
3465,12,35000,2
3616,12,35000,2
3837,12,35000,2
4032,12,35000,2
4541,12,35000,2
4722,12,35000,2
4817,12,35000,2
4876,12,35000,2
4945,12,35000,2
5327,12,35000,2
5366,12,35000,2
5401,12,35000,2
5616,12,35000,2
11917,12,35000,2
5211,12,35718,2
866,12,36000,2
891,12,36000,2
1085,12,36000,2
1959,12,36000,2
2138,12,36000,2
3413,12,36000,2
3565,12,36000,2
3580,12,36000,2
3732,12,36000,2
4013,12,36000,2
4746,12,36000,2
5145,12,36000,2
5435,12,36000,2
2706,12,36500,2
4103,12,36500,2
5356,12,36800,2
37,12,37000,2
755,12,37000,2
2090,12,37000,2
3081,12,37000,2
5161,12,37000,2
860,12,37500,2
2334,12,37500,2
5288,12,37500,2
199,12,38000,2
240,12,38000,2
972,12,38000,2
1222,12,38000,2
1357,12,38000,2
1425,12,38000,2
2539,12,38000,2
4327,12,38000,2
5176,12,38000,2
5184,12,38000,2
5440,12,38000,2
5528,12,38000,2
5669,12,38000,2
4888,12,38083,2
4586,12,38154,2
4589,12,38200,2
938,12,38500,2
1426,12,38685,2
233,12,39000,2
351,12,39000,2
990,12,39000,2
1272,12,39000,2
3487,12,39000,2
4498,12,39000,2
11942,12,39000,2
2076,12,39144,2
2629,12,39264,2
2553,12,39800,2
105,12,40000,2
636,12,40000,2
711,12,40000,2
717,12,40000,2
731,12,40000,2
875,12,40000,2
955,12,40000,2
1553,12,40000,2
1605,12,40000,2
1635,12,40000,2
1835,12,40000,2
1881,12,40000,2
2087,12,40000,2
2089,12,40000,2
2180,12,40000,2
2413,12,40000,2
2863,12,40000,2
2977,12,40000,2
3113,12,40000,2
3194,12,40000,2
3215,12,40000,2
3347,12,40000,2
3471,12,40000,2
3493,12,40000,2
3833,12,40000,2
3958,12,40000,2
4128,12,40000,2
4520,12,40000,2
4538,12,40000,2
4711,12,40000,2
4955,12,40000,2
5257,12,40000,2
5625,12,40000,2
11794,12,40000,2
11860,12,40000,2
11993,12,40000,2
12031,12,40000,2
2156,12,40500,2
1902,12,40574,2
745,12,41000,2
1418,12,41000,2
1521,12,41000,2
1975,12,41000,2
2535,12,41000,2
3502,12,41000,2
4776,12,41000,2
709,12,41167,2
1541,12,41400,2
385,12,41500,2
640,12,42000,2
929,12,42000,2
973,12,42000,2
1506,12,42000,2
1966,12,42000,2
2473,12,42000,2
2998,12,42000,2
3561,12,42000,2
3569,12,42000,2
3814,12,42000,2
4752,12,42000,2
5694,12,42000,2
5711,12,42000,2
12125,12,42000,2
11865,12,42500,2
386,12,43000,2
942,12,43000,2
1319,12,43000,2
2216,12,43000,2
5470,12,43000,2
966,12,44000,2
1111,12,44000,2
1750,12,44000,2
1925,12,44000,2
2326,12,44000,2
2584,12,44000,2
3353,12,44000,2
11883,12,44000,2
42,12,45000,2
1011,12,45000,2
1397,12,45000,2
1826,12,45000,2
1905,12,45000,2
3329,12,45000,2
3579,12,45000,2
3751,12,45000,2
3830,12,45000,2
4161,12,45000,2
4427,12,45000,2
4676,12,45000,2
4714,12,45000,2
5558,12,45000,2
11839,12,45000,2
11926,12,45000,2
470,12,46000,2
859,12,46000,2
997,12,46000,2
1988,12,46000,2
2081,12,46000,2
2322,12,46000,2
3418,12,46000,2
4004,12,46000,2
12041,12,46000,2
2470,12,46500,2
1786,12,46800,2
1957,12,47000,2
3151,12,47000,2
3492,12,47000,2
3574,12,47000,2
4496,12,47000,2
5580,12,47000,2
5291,12,47500,2
362,12,48000,2
719,12,48000,2
851,12,48000,2
964,12,48000,2
1096,12,48000,2
1640,12,48000,2
1917,12,48000,2
2093,12,48000,2
2401,12,48000,2
2832,12,48000,2
3195,12,48000,2
4216,12,48000,2
4239,12,48000,2
4242,12,48000,2
4926,12,48000,2
3736,12,49000,2
3246,12,49400,2
146,12,50000,2
165,12,50000,2
674,12,50000,2
697,12,50000,2
878,12,50000,2
888,12,50000,2
1114,12,50000,2
1500,12,50000,2
1977,12,50000,2
2304,12,50000,2
2314,12,50000,2
2614,12,50000,2
2797,12,50000,2
3100,12,50000,2
3138,12,50000,2
3933,12,50000,2
4240,12,50000,2
4519,12,50000,2
4524,12,50000,2
4900,12,50000,2
5158,12,50000,2
5251,12,50000,2
5402,12,50000,2
5451,12,50000,2
5499,12,50000,2
11759,12,50000,2
11849,12,50000,2
747,12,50300,2
3589,12,50987,2
12055,12,51000,2
133,12,52000,2
1386,12,52000,2
1534,12,52000,2
1597,12,52000,2
1867,12,52000,2
2100,12,52000,2
2106,12,52000,2
2173,12,52000,2
2547,12,52000,2
3036,12,52000,2
3721,12,52000,2
3770,12,52000,2
3789,12,52000,2
3846,12,52000,2
4036,12,52000,2
4062,12,52000,2
5491,12,52000,2
5626,12,52000,2
5637,12,52000,2
5653,12,52000,2
12018,12,52900,2
283,12,53000,2
799,12,53000,2
1327,12,53000,2
2976,12,53000,2
4755,12,54000,2
4942,12,54000,2
5585,12,54000,2
11846,12,54000,2
12097,12,54000,2
1910,12,55000,2
2140,12,55000,2
2223,12,55000,2
3177,12,55000,2
3553,12,55000,2
3722,12,55000,2
3780,12,55000,2
4764,12,55000,2
5278,12,55000,2
967,12,56000,2
1580,12,56000,2
1636,12,56000,2
2225,12,56000,2
2475,12,56000,2
2858,12,56000,2
3575,12,56000,2
3592,12,56000,2
3694,12,56000,2
4300,12,56000,2
5362,12,56000,2
5493,12,56000,2
11793,12,56000,2
1788,12,56856,2
11875,12,57000,2
11822,12,57500,2
2074,12,58000,2
2247,12,58000,2
3346,12,58000,2
3737,12,58000,2
4090,12,58000,2
4324,12,58000,2
4716,12,58000,2
4979,12,58000,2
5316,12,58000,2
11925,12,58000,2
12019,12,58000,2
434,12,59000,2
1554,12,59000,2
1577,12,59000,2
392,12,60000,2
540,12,60000,2
996,12,60000,2
1585,12,60000,2
2067,12,60000,2
2070,12,60000,2
2394,12,60000,2
2527,12,60000,2
2921,12,60000,2
3277,12,60000,2
3389,12,60000,2
3559,12,60000,2
3600,12,60000,2
3735,12,60000,2
4563,12,60000,2
5668,12,60000,2
11800,12,60000,2
11973,12,60000,2
12008,12,60000,2
647,12,61000,2
3455,12,61200,2
2594,12,62000,2
4014,12,62000,2
4623,12,62000,2
4759,12,62000,2
4251,12,62500,2
5007,12,63000,2
12022,12,63000,2
4858,12,64000,2
279,12,64500,2
963,12,65000,2
968,12,65000,2
1971,12,65000,2
2182,12,65000,2
3039,12,65000,2
4596,12,65000,2
11786,12,65000,2
2075,12,66000,2
4097,12,66000,2
4788,12,66000,2
47,12,66309,2
39,12,67000,2
1515,12,67000,2
1963,12,67000,2
3221,12,67000,2
3847,12,67000,2
4720,12,67000,2
408,12,68000,2
1918,12,68000,2
3374,12,68000,2
3957,12,68000,2
38,12,70000,2
310,12,70000,2
949,12,70000,2
2135,12,70000,2
2541,12,70000,2
3077,12,70000,2
4765,12,70000,2
5700,12,70000,2
2097,12,71000,2
914,12,71500,2
684,12,72000,2
797,12,72000,2
951,12,72000,2
3037,12,72000,2
3196,12,72000,2
4707,12,72000,2
5677,12,72000,2
5696,12,72000,2
772,12,74000,2
2997,12,74000,2
242,12,75000,2
2427,12,75000,2
2920,12,75000,2
11958,12,75000,2
2436,12,78000,2
11785,12,78000,2
323,12,80000,2
594,12,80000,2
1118,12,80000,2
1249,12,80000,2
1383,12,80000,2
1721,12,80000,2
3479,12,80000,2
3495,12,80000,2
4278,12,80000,2
11807,12,80000,2
426,12,82000,2
2816,12,82000,2
12093,12,82000,2
5219,12,83000,2
4268,12,84600,2
29,12,85000,2
152,12,85000,2
3838,12,85000,2
4569,12,85000,2
3503,12,88000,2
2974,12,89000,2
284,12,90000,2
502,12,90000,2
922,12,90000,2
1602,12,90000,2
2101,12,90000,2
4022,12,90000,2
4049,12,90000,2
4566,12,90000,2
11934,12,90000,2
11947,12,90000,2
243,12,94600,2
149,12,95000,2
613,12,95000,2
3324,12,96000,2
2994,12,97200,2
543,12,98000,2
2361,12,99000,2
1629,12,100000,2
1961,12,100000,2
5162,12,100000,2
381,12,105000,2
970,12,110000,2
1641,12,110000,2
5531,12,110000,2
1062,12,115000,2
5097,12,119000,2
1595,12,120000,2
3403,12,120000,2
5106,12,120000,2
863,12,125000,2
1007,12,125000,2
3381,12,125000,2
1169,12,130000,2
4630,12,130000,2
234,12,140000,2
3708,12,144000,2
4279,12,150000,2
1651,12,153334,2
2033,12,157117,2
348,12,164307,2
3829,12,167803,2
486,12,196424,2
5417,12,196680,2
4701,12,197062,2
1493,12,245549,2
4986,12,410008,2
1102,13-15,429,3
3380,13-15,900,3
2071,13-15,1000,3
3120,13-15,1200,3
3867,13-15,1200,3
11797,13-15,1200,3
11815,13-15,1300,3
3025,13-15,1500,3
5661,13-15,1600,3
4051,13-15,1748,3
3287,13-15,1800,3
248,13-15,2000,3
1920,13-15,2000,3
3356,13-15,2000,3
3567,13-15,2760,3
256,13-15,3000,3
1258,13-15,3000,3
1995,13-15,3000,3
3978,13-15,3000,3
4717,13-15,3000,3
4972,13-15,3000,3
5125,13-15,3000,3
5361,13-15,3000,3
12066,13-15,3000,3
12087,13-15,3000,3
4391,13-15,3500,3
5259,13-15,3500,3
2120,13-15,4000,3
2744,13-15,4000,3
4694,13-15,4000,3
3661,13-15,4500,3
533,13-15,5000,3
564,13-15,5000,3
4704,13-15,5000,3
2107,13-15,5100,3
5349,13-15,5250,3
1568,13-15,6000,3
3218,13-15,6000,3
4060,13-15,6000,3
4844,13-15,6000,3
5149,13-15,6000,3
5274,13-15,6000,3
5453,13-15,6000,3
3667,13-15,6360,3
3225,13-15,6700,3
5442,13-15,6800,3
3597,13-15,7000,3
3047,13-15,7200,3
4001,13-15,7800,3
3610,13-15,7900,3
1778,13-15,8000,3
5674,13-15,8000,3
11769,13-15,8000,3
2426,13-15,8200,3
4316,13-15,8500,3
4254,13-15,8900,3
2057,13-15,9000,3
2119,13-15,9000,3
1644,13-15,9400,3
335,13-15,10000,3
1739,13-15,10000,3
3350,13-15,10000,3
3354,13-15,10000,3
4231,13-15,10000,3
4602,13-15,10000,3
5094,13-15,10000,3
5277,13-15,10000,3
5340,13-15,10000,3
11886,13-15,10000,3
11932,13-15,10000,3
2942,13-15,10372,3
2474,13-15,10574,3
2214,13-15,11000,3
3531,13-15,11000,3
3758,13-15,11000,3
4536,13-15,11000,3
5101,13-15,11000,3
5308,13-15,11000,3
147,13-15,12000,3
1224,13-15,12000,3
1558,13-15,12000,3
3041,13-15,12000,3
3250,13-15,12000,3
3787,13-15,12000,3
11923,13-15,12000,3
2542,13-15,12800,3
1758,13-15,13000,3
2410,13-15,13000,3
3089,13-15,13000,3
4839,13-15,14000,3
5360,13-15,14000,3
5445,13-15,14000,3
1913,13-15,14103,3
2040,13-15,14969,3
442,13-15,15000,3
936,13-15,15000,3
956,13-15,15000,3
1223,13-15,15000,3
1512,13-15,15000,3
1792,13-15,15000,3
2265,13-15,15000,3
4465,13-15,15000,3
4665,13-15,15000,3
4729,13-15,15000,3
4987,13-15,15000,3
5199,13-15,15000,3
11832,13-15,15000,3
4323,13-15,15500,3
811,13-15,16000,3
1291,13-15,16000,3
1411,13-15,16000,3
2856,13-15,16000,3
5315,13-15,16000,3
2148,13-15,16557,3
3269,13-15,17000,3
4922,13-15,17000,3
11798,13-15,17000,3
4929,13-15,17900,3
2190,13-15,18000,3
5611,13-15,18000,3
5037,13-15,18230,3
2981,13-15,18300,3
3477,13-15,18520,3
4930,13-15,18839,3
4803,13-15,19000,3
801,13-15,19327,3
11816,13-15,19500,3
724,13-15,20000,3
1160,13-15,20000,3
2041,13-15,20000,3
3307,13-15,20000,3
3308,13-15,20000,3
4354,13-15,20000,3
4899,13-15,20000,3
5191,13-15,20000,3
5318,13-15,20000,3
12062,13-15,20000,3
11844,13-15,20108,3
1166,13-15,20609,3
414,13-15,21000,3
764,13-15,21000,3
1288,13-15,21000,3
4560,13-15,21000,3
12138,13-15,21000,3
460,13-15,21400,3
721,13-15,22000,3
1440,13-15,22000,3
2677,13-15,22000,3
3107,13-15,22000,3
4015,13-15,22000,3
4890,13-15,22000,3
4953,13-15,22000,3
5649,13-15,22000,3
688,13-15,23000,3
1529,13-15,23000,3
1986,13-15,23000,3
3725,13-15,23000,3
4337,13-15,23000,3
5397,13-15,23699,3
889,13-15,24000,3
1038,13-15,24000,3
1273,13-15,24000,3
1279,13-15,24000,3
3312,13-15,24000,3
5609,13-15,24000,3
5702,13-15,24000,3
4840,13-15,24226,3
11872,13-15,24500,3
3496,13-15,24600,3
3432,13-15,24626,3
245,13-15,25000,3
761,13-15,25000,3
835,13-15,25000,3
856,13-15,25000,3
1013,13-15,25000,3
1163,13-15,25000,3
1301,13-15,25000,3
1912,13-15,25000,3
2011,13-15,25000,3
2568,13-15,25000,3
2694,13-15,25000,3
3249,13-15,25000,3
3714,13-15,25000,3
4009,13-15,25000,3
4035,13-15,25000,3
4651,13-15,25000,3
4865,13-15,25000,3
5062,13-15,25000,3
5178,13-15,25000,3
5332,13-15,25000,3
11833,13-15,25000,3
3730,13-15,25275,3
405,13-15,26000,3
779,13-15,26000,3
1659,13-15,26000,3
2725,13-15,26000,3
3457,13-15,26000,3
2204,13-15,26074,3
1868,13-15,26500,3
5612,13-15,26500,3
2332,13-15,26524,3
2736,13-15,27000,3
3232,13-15,27000,3
4265,13-15,27000,3
4880,13-15,27000,3
1798,13-15,27100,3
